partido,candidato,frase,veredicto,justificacion,fuentes_consultadas
Renovación Popular,Rafael López Aliaga,Incorporar el deporte recreativo y formativo en la currícula escolar en todos sus niveles.,Factible,El MINEDU tiene competencia para modificar el currículo y ampliar horas de educación física. Es una medida administrativa y pedagógica viable.,"Ley N° 28044 (Ley General de Educación) y el Artículo 30 de la Ley del Deporte (N° 28036), que ya declaran la educación física como obligatoria, facilitando legalmente su ampliación o refuerzo curricular."
Renovación Popular,Rafael López Aliaga,Erradicaremos la anemia y la desnutrición infantil.,Engañosa,"El término ""erradicar"" implica llegar a cero casos. Dada la línea base (43% anemia), la meta es técnicamente improbable en cinco años. Los organismos internacionales plantean metas de reducción, reconociendo la dificultad de la eliminación total a corto plazo.","INEI - Encuesta Demográfica y de Salud Familiar (ENDES 2023), que demuestra la persistencia de estos indicadores por encima del 40% en la última década, y los estándares de la OMS que definen metas de reducción progresiva, no erradicación súbita."
Renovación Popular,Rafael López Aliaga,"Acabaremos con la cadena de cobros excesivos por medicamentos. Será obligatorio que las farmacias tengan medicamentos básicos y genéricos que cubran la demanda del Minsa, Es Salud y FFAA y PNP.",Inviable,"La medida implica regular stocks de privados, lo cual podría entrar en conflicto con los artículos 58 y 62 de la Constitución sobre libertad de empresa. Logísticamente, traslada la responsabilidad de abastecimiento estatal al sector privado, el cual no necesariamente tiene capacidad para cubrir la demanda del sector público.","Constitución Política del Perú (Artículos 58, 59 y 62) que garantizan la libertad de empresa y prohíben el intervencionismo de precios, y la Ley N° 29459 (Ley de Productos Farmacéuticos) que regula el mercado sin facultar al Estado a imponer stocks para cobertura pública."
Salvemos al Perú,Antonio Ortiz,Impulsar los Lineamientos de 'Desarrollo Infantil Temprano' (DIT) aprobado por el Foro del Acuerdo Nacional para propiciar una mejor articulación intersectorial...,Factible,La propuesta es viable y se basa en políticas de Estado existentes (Primero la Infancia). La articulación intersectorial es función del Ejecutivo (MIDIS/PCM).,"Decreto Supremo N° 010-2016-MIDIS y Decreto Supremo N° 003-2019-MIDIS, que aprueban la Estrategia de Gestión Territorial ""Primero la Infancia"" y facultan al Ejecutivo para su implementación"
Salvemos al Perú,Antonio Ortiz,Menos del 5% de mujeres gestantes y niños menores de 3 años con anemia o deficiencia de micronutrientes [...] Reducir la desnutrición crónica infantil nacional... a menos del 6% al año 2031.,Engañosa,"Reducir la anemia a menos del 5% implica una disminución drástica frente al 43% actual. La meta supera las tendencias históricas de reducción y contradice la propia proyección del plan en otras secciones, según se señala en el análisis.","INEI - Encuesta Demográfica y de Salud Familiar (ENDES 2023), que demuestra la persistencia de la anemia sobre el 40%, y los estándares de la OMS sobre prevalencia de anemia."
Salvemos al Perú,Antonio Ortiz,40% de IIEE [Instituciones Educativas] acreditados por Sineace al 2031.,Inviable,"Acreditar 22,000 colegios (40%) requiere una capacidad operativa de evaluación masiva que el SINEACE no ha registrado históricamente. El proceso es lento y depende del cierre previo de brechas de infraestructura.","Ley N° 28740 (Ley del SINEACE) y estadísticas del Registro de Instituciones Educativas Acreditadas, que evidencian que el ritmo histórico es de apenas unas decenas por año, no miles."
Si Creo,Carlos Espá,"Facilitar que profesionales de conducta intachable y debidamente graduados de universidades en carreras afines a la Ciencia, Tecnología, Ingeniería y Matemáticas (STEM) (...) puedan enseñar en las escuelas públicas rindiendo las pruebas que en la actualidad rinden los maestros.",Factible,"La medida es viable mediante modificaciones a la normativa de contratación docente (Ley de Reforma Magisterial) para permitir el ingreso de profesionales no docentes en áreas deficitarias, competencia del sector educación.","Ley N° 29944, Ley de Reforma Magisterial: Artículos sobre requisitos de ingreso a la Carrera Pública. Ministerio de Educación (Norma Técnica de Contratación Docente): Procedimientos vigentes para adjudicación de plazas."
Si Creo,Carlos Espá,Eliminar en más del 90% la anemia infantil en 5 años de gobierno.,Engañosa,Reducir la anemia en 90% (llevándola a un dígito) en cinco años no tiene precedentes en la estadística nacional. Requiere resolver brechas de saneamiento de gran magnitud en el mismo periodo.,INEI - Encuesta Demográfica y de Salud Familiar (ENDES 2023-2024): Estadísticas históricas de estancamiento de la anemia. Ministerio de Vivienda (Plan Nacional de Saneamiento 2022-2026): Brecha de inversión en agua y desagüe.
Si Creo,Carlos Espá,Programa de Bono Educativo para devolver el dinero a las familias y que sean ellas quienes elijan dónde 'canjear' el bono. (...) El monto de los Bonos Educativos se entregará en forma de becas parciales.,Inviable,"La propuesta enfrenta la rigidez del gasto corriente (planilla docente estatal) y la falta de oferta privada en zonas rurales. Además, el financiamiento estatal de educación privada universal requeriría análisis constitucional frente al mandato de gratuidad de la enseñanza pública.",Constitución Política del Perú: Artículo 17 (Gratuidad de la enseñanza pública). Ministerio de Economía y Finanzas (MEF): Consulta Amigable de Gasto (Rigidez presupuestal en la Partida 2.1 Personal y Obligaciones Sociales).
Somos Perú,George Forsyth,"Distribuir 400,000 laptops (primaria) y 400,000 laptops (secundaria) en 5 años a estudiantes y docentes de primaria y secundaria de escuelas públicas...",Factible,La adquisición y distribución de bienes es viable administrativamente y cuenta con precedentes. El presupuesto del sector educación permite financiar este tipo de equipamiento.,"Ley de Contrataciones del Estado (Ley N.º 30225) y catálogos electrónicos de Perú Compras. Ley de Presupuesto del Sector Público: El sector Educación recibe históricamente la mayor asignación presupuestal (aprox. 18-20% del presupuesto total), lo que cubre el costo estimado de esta adquisición."
Somos Perú,George Forsyth,Reducir la anemia en niños menores de 3 años a <15%.,Engañosa,La meta implica una reducción significativa que contrasta con el estancamiento histórico del indicador. Su cumplimiento está condicionado al avance simultáneo en infraestructura de agua y saneamiento.,"INEI - Encuesta Demográfica y de Salud Familiar (ENDES 2024): Prevalencia de anemia estancada en 43.1%. OMS (Organización Mundial de la Salud): Metas globales de nutrición 2025 (reducción del 50% de la anemia es una meta a largo plazo, no un shock de 5 años)."
Somos Perú,George Forsyth,"Construir 50 hospitales tipo II-1 en ciudades intermedias y 300 centros de salud en distritos rurales, utilizando modalidades APP, Obras por Impuestos y Gobierno a Gobierno.",Inviable,"La construcción de 50 hospitales en cinco años supera los plazos promedio de maduración de proyectos (8-10 años). Las modalidades G2G u Obras por Impuestos agilizan la contratación, pero no eliminan los tiempos de preinversión ni resuelven el déficit de especialistas para la operación.","Decreto Legislativo N.º 1252 (Sistema Nacional de Programación Multianual y Gestión de Inversiones - Invierte.pe). Informes del PRONIS y Contraloría General de la República sobre paralización de obras hospitalarias (ej. Hospital de Antonio Lorena en Cusco o Hospital de Puno, con retrasos de más de una década)."
Un Camino Diferente,Rosario Fernández,Unificación ESSALUD y MINSA.,No está en sus manos,"La fusión enfrenta la barrera constitucional de la intangibilidad de los fondos de la seguridad social (Art. 12). Requiere reforma constitucional y legislativa por parte del Congreso, no solo decisión ejecutiva.","Constitución Política del Perú: Artículo 12 (Intangibilidad de los fondos de la Seguridad Social). Ley N.º 27056: Ley de Creación del Seguro Social de Salud (ESSALUD) y su autonomía técnica, administrativa y financiera."
Un Camino Diferente,Rosario Fernández,"Egresados de universidades nacionales con bachillerato automático..."" / ""Otorgar automáticamente el grado de bachiller al culminar los estudios universitarios.",Engañosa,"La propuesta corresponde a una Ley ya vigente (Ley N° 31803). Respecto a imponer planes de estudio, la Ley Universitaria garantiza la autonomía académica de las universidades para diseñar sus mallas curriculares.",Ley N.º 31803: Ley que modifica la Ley 30220 para promover la investigación para la obtención del grado académico de bachiller (Bachillerato Automático Permanente). Ley N.º 30220 (Ley Universitaria): Artículo 8 sobre Autonomía Universitaria.
Un Camino Diferente,Rosario Fernández,Mínimo cuatro ambulancias por posta médica,Inviable,"La asignación fija de 4 ambulancias por posta (más de 30,000 unidades en total) no se ajusta a las normas técnicas de transporte asistido, que asignan recursos según demanda y densidad. Generaría un alto costo de mantenimiento y personal ineficiente en zonas de baja demanda.","Norma Técnica de Salud N° 051-MINSA/OGDN-V.01: Transporte Asistido de Pacientes (establece ratios por densidad poblacional y demanda, no un número fijo arbitrario). RENIPRESS (Registro Nacional de Instituciones Prestadoras de Servicios de Salud): Estadística de número de postas a nivel nacional (aprox. 8,200 puestos de salud)."
